Ref No.;Full citation (APA);Person working on it;Abs Justification; Include/Exclude Abstract; Include/Exclude Full;Full txt Justification;Habitat;Habitat_old;Species (Genus);Species (Latin name, first letter capital, e.g. Zostera marina);Focus;Setting;Type of Data;Region according to HELCOM;Latitude;Longitude;Notes (Region);Time scale;Start Year;End Year;Duration;Pressures;Pressures2;Details on Pressures;Effect of Pressures;Effect direction of Pressures;Type of Ecosystem Service;Specify Service;Service details;Describe Service;Are ES Monetary?;Type of Non-Monetary Value;Type of Monetary Value;Monetary Method used;Specific Method (Non-Monetary and Monetary);Specific Unit (Non-Monetary and Monetary);NOTES;Economic Scoring System;Type of Effect on Economy;Natural Scoring System;Type of Effect on Nature;Human Scoring System;Type of Effect on Human;Social Scoring System;Type of Effect on Society;Interaction with other ES;NOTES;Language of Literature;Quality Assessment (0 (bad) - 5 (good));Criterion Used;Value of Criterion;Number of Replicates;NOTES
699;Peterson, A., Herkl, K., & Torn, K. (2018). Modeling Coastal Benthic Biodiversity Using Georeferenced Environmental Data: Mapping Present and Predicting Future Changes. Journal of Coastal Research, 85, 376?380. https://doi.org/10.2112/si85-076.1;Reviewer 2;;Include;Exclude;Not specified which assemblages were present in flora and fauna;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
790;Godlewska, K., Michalak, I., Tuhy, ?., & Chojnacka, K. (2017). The Influence of pH of Extracting Water on the Composition of Seaweed Extracts and Their Beneficial Properties onLepidium sativum. BioMed Research International, 2017, 1?11. https://doi.org/10.1155/2017/7248634;Reviewer 2;;Include;Exclude;NO topic correlation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
807;Laos, K., & Ring, S. G. (2005). Note: Characterisation of furcellaran samples from Estonian Furcellaria lumbricalis (Rhodophyta). Journal of Applied Phycology, 17(5), 461?464. https://doi.org/10.1007/s10811-005-1635-2;Reviewer 2;;Include;Exclude;NO topic correlation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
821;Gustafsson, C., & Salo, T. (2012). The effect of patch isolation on epifaunal colonization in two different seagrass ecosystems. Marine Biology, 159(7), 1497?1507. https://doi.org/10.1007/s00227-012-1932-7;Reviewer 2;;Include;Exclude;Study conducted on artificial seagrass units;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
828;Moll, D., Kotterba, P., von Nordheim, L., & Polte, P. (2017). Storm-Induced Atlantic Herring (Clupea harengus) Egg Mortality in Baltic Sea Inshore Spawning Areas. Estuaries and Coasts, 41(1), 1?12. https://doi.org/10.1007/s12237-017-0259-5;Reviewer 2;;Include;Exclude;No target habitats investigated;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
841;Wikstr”m, S. A., Carstensen, J., Blomqvist, M., & Krause-Jensen, D. (2016). Cover of coastal vegetation as an indicator of eutrophication along environmental gradients. Marine Biology, 163(12). https://doi.org/10.1007/s00227-016-3032-6;Reviewer 2;;Include;Exclude;Great extensive paper but they never provide detailed information about what actual algal speceis were sampled;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
856;Casties, I., Clemmesen, C., Melzner, F., & Thomsen, J. (2015). Salinity dependence of recruitment success of the sea star Asterias rubens in the brackish western Baltic Sea. Helgoland Marine Research, 69(2), 169?175. https://doi.org/10.1007/s10152-015-0425-8;Reviewer 2;;Include;Exclude;NO topic correlation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
889;Meixner, R. (1990). On the exploitation of mussels in the Flensburger Foerde (W. Baltic). Archiv fuer Fischereiwissenschaft, 40(1), 87-99.;Reviewer 4;from Reviewer 2;Include;Exclude;Review, no own observations or experiments;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
911;Barbot, Y., Al-Ghaili, H., & Benz, R. (2016). A Review on the Valorization of Macroalgal Wastes for Biomethane Production. Marine Drugs, 14(6), 120. https://doi.org/10.3390/md14060120;Reviewer 2;;Include;Exclude;Review paper (categorising suitability of macroalgae for biofuel extraction) nothing for me to extract or categorise;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
923;Piwowarczyk, J., Kronenberg, J., & Dereniowska, M. A. (2013). Marine ecosystem services in urban areas: Do the strategic documents of Polish coastal municipalities reflect their importance? Landscape and Urban Planning, 109(1), 85?93. https://doi.org/10.1016/j.landurbplan.2012.10.009;Reviewer 2;;Include;Exclude;ECOSYSTEM SERVICE PAPER but not targeting our habitats / reviewing status of marine ES in polish strategic docs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
925;Aarnio, K., T”rnroos, A., Bj”rklund, C., & Bonsdorff, E. (2015). Food web positioning of a recent coloniser: the North American Harris mud crab Rhithropanopeus harrisii (Gould, 1841) in the northern Baltic Sea. Aquatic Invasions, 10(4), 399?413. https://doi.org/10.3391/ai.2015.10.4.04;Reviewer 2;;Include;Exclude;Food web positioning of the invasive mud crab R harrisii;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
942;Ostapczuk, P., Burow, M., May, K., Mohl, C., Froning, M., Sáenbach, B., Waidmann, E., & Emons, H. (1997). Mussels and algae as bioindicators for long-term tendencies of element pollution in marine ecosystems. Chemosphere, 34(9?10), 2049?2058. https://doi.org/10.1016/s0045-6535(97)00067-2;Reviewer 2;;Include;Exclude;In the north sea (one region supposedly in the baltic but could not determine where thus excluded);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
955;Davies, P., Morvan, C., Sire, O., & Baley, C. (2007). Structure and properties of fibres from sea-grass (Zostera marina). Journal of Materials Science, 42(13), 4850?4857. https://doi.org/10.1007/s10853-006-0546-1;Reviewer 2;;Include;Exclude;NO topic correlation: simply extracting fibers from Zostera brief and poor publication without any context to wider picture;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
957;R†berg, S., & Kautsky, L. (2007). CONSUMERS AFFECT PREY BIOMASS AND DIVERSITY THROUGH RESOURCE PARTITIONING. Ecology, 88(10), 2468?2473. https://doi.org/10.1890/07-0263.1;Reviewer 2;;Include;Exclude;Examining nutrient and grazer effect on macroalgal epiphytes.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
964;Myllniemi, M., & Kiirikki, M. (1997, July). Symbiotic algae and regeneration capacity of Fucus vesiculosus in the Northern Baltic Sea. In PHYCOLOGIA (Vol. 36, No. 4, pp. 76-77). New business office, po box 1897, Lawrence, ks 66044-8897 USA: INT Phycological soc.;Reviewer 2;;Include;Exclude;Nothing to extract poor article less than a page long;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
997;Norderhaug, K., Gundersen, H., Pedersen, A., Moy, F., Green, N., Walday, M., Gitmark, J., Ledang, A., Bjerkeng, B., Hjermann, D., & Trannum, H. (2015). Effects of climate and eutrophication on the diversity of hard bottom communities on the Skagerrak coast 1990-2010. Marine Ecology Progress Series, 530, 29?46. https://doi.org/10.3354/meps11306;Reviewer 2;;Include;Exclude;Modelling the effect of eutrophication on macroalgae and macrofauna over time, however, pools everything togeter and does not specify studied species;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
999;Tulldahl, H. M., & Wikstr”m, S. A. (2012). Classification of aquatic macrovegetation and substrates with airborne lidar. Remote Sensing of Environment, 121, 347?357. https://doi.org/10.1016/j.rse.2012.02.004;Reviewer 2;;Include;Exclude;Classifying macrovegetations with LIDAR but not specifying what species is included in macrovegetation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1002;von Nordheim, L., Kotterba, P., Moll, D., & Polte, P. (2017). Impact of Spawning Substrate Complexity on Egg Survival of Atlantic Herring (Clupea harengus, L.) in the Baltic Sea. Estuaries and Coasts, 41(2), 549?559. https://doi.org/10.1007/s12237-017-0283-5;Reviewer 2;;Include;Exclude;Examining the impact of substrate compleity on herring egg survival, however, experiments ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1007;Riisgaard, H. U., Seerup, D. F., Jensen, M. H., Glob, E., & Larsen, P. S. (2004). Grazing impact of filter-feeding zoobenthos in a Danish fjord. Journal of Experimental Marine Biology and Ecology, 307(2), 261?271. https://doi.org/10.1016/j.jembe.2004.02.008;Reviewer 2;;Include;Exclude;"Filtration potential of cerastoderma glaucum; Mya arenaria; Nereis diversicolor";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1028;Osowiecki, A., & Kruk-Dowgiallo, L. (2007). Applying combined biological methods with remote sensing techniques in studies of marine biodiversity, bottom habitats and communities of flora and fauna. Environment Protection Engineering, 33(2), 193.;Reviewer 2;;Include;Exclude;Applying remote sensng and combining it to biological measures to study bottom habitats but the resolution does not allow distinguishing between macroalga species;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1029;Tsangaris, C., Hatzianestis, I., Catsiki, V.-A., Kormas, K. A., Strogyloudi, E., Neofitou, C., Andral, B., & Galgani, F. (2011). Active biomonitoring in Greek coastal waters: Application of the integrated biomarker response index in relation to contaminant levels in caged mussels. Science of The Total Environment, 412?413, 359?365. https://doi.org/10.1016/j.scitotenv.2011.10.028;Reviewer 2;;Include;Exclude;Not in the baltic sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1037;Karlsson, J., & Loo, L.-O. (1999). On the Distribution and Continuous Expansion of the Japanese Seaweed - Sargassum muticum - in Sweden. Botanica Marina, 42(3). https://doi.org/10.1515/bot.1999.032;Reviewer 2;;Include;Exclude;Studing invasive magroalgae Sargassum mutikum in skagerrak;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1039;Petersen, J. K., Timmermann, K., Carlsson, M., Holmer, M., Maar, M., & Lindahl, O. (2012). Mussel farming can be used as a mitigation tool ? A reply. Marine Pollution Bulletin, 64(2), 452?454. https://doi.org/10.1016/j.marpolbul.2011.11.027;Reviewer 2;;Include;Exclude;Correspondance/reply to a publication;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1056;™stlund-Nilsson, S. (2000). Are nest characters of importance when choosing a male in the fifteen-spined stickleback ( Spinachia spinachia )? Behavioral Ecology and Sociobiology, 48(3), 229?235. https://doi.org/10.1007/s002650000230;Reviewer 2;;Include;Exclude;"Focussing on nest characteristics of sticklebacks; briefly focus on macroalgae but on an atrificial structure";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1069;Petersen, J. K., Saurel, C., Nielsen, P., & Timmermann, K. (2015). The use of shellfish for eutrophication control. Aquaculture International, 24(3), 857?878. https://doi.org/10.1007/s10499-015-9953-0;Reviewer 2;;Include;Exclude;FANTASTIC Review paper (reviewing the use of musseld for eutrophication control);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1103;S”derqvist, T., Eggert, H., Olsson, B., & Soutukorva, . (2005). Economic Valuation for Sustainable Development in the Swedish Coastal Zone. AMBIO: A Journal of the Human Environment, 34(2), 169?175. https://doi.org/10.1579/0044-7447-34.2.169;Reviewer 2;;Include;Exclude;Economic valuation for sustainable development on swedish coast, but not targeting any ecological components;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1137;Conley, D. J., Kaas, H., M›hlenberg, F., Rasmussen, B., Windolf, J., Mohlenberg, F., & Windolf, J. (2000). Characteristics of Danish Estuaries. Estuaries, 23(6), 820. https://doi.org/10.2307/1353000;Reviewer 2;;Include;Exclude;NO topic correlation (characterising Danish estuaries);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1149;T”rnroos, A., Bonsdorff, E., Bremner, J., Blomqvist, M., Josefson, A. B., Garcia, C., & Warzocha, J. (2015). Marine benthic ecological functioning over decreasing taxonomic richness. Journal of Sea Research, 98, 49?56. https://doi.org/10.1016/j.seares.2014.04.010;Reviewer 2;;Include;Exclude;NO topic correlation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1157;Rinne, H., Kaskela, A., Downie, A.-L., Tolvanen, H., von Numers, M., & Mattila, J. (2014). Predicting the occurrence of rocky reefs in a heterogeneous archipelago area with limited data. Estuarine, Coastal and Shelf Science, 138, 90?100. https://doi.org/10.1016/j.ecss.2013.12.025;Reviewer 2;;Include;Exclude;Predicting occurrence of rocky reefs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1167;Michalak, I., & Chojnacka, K. (2013). Use of extract from Baltic seaweeds produced by chemical hydrolysis in plant cultivation. Przemysl Chemiczny, 92(6), 1046-1049.;Reviewer 2;;Include;Exclude;Written in polish;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1180;Hallmann, A., Smolarz, K., Konieczna, L., Zabrza?ska, S., Belka, M., & B?czek, T. (2016). LC?MS measurment of free steroids in mussels ( Mytilus trossulus) from the southern Baltic Sea. Journal of Pharmaceutical and Biomedical Analysis, 117, 311?315. https://doi.org/10.1016/j.jpba.2015.09.013;Reviewer 2;;Include;Exclude;No topic correlation: Quantifying natural hormones within mytilus tissue;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1201;Bihari, N., Fafan?el, M., & Pi?kur, V. (2007). Polycyclic Aromatic Hydrocarbons and Ecotoxicological Characterization of Seawater, Sediment, and Mussel Mytilus galloprovincialis from the Gulf of Rijeka, the Adriatic Sea, Croatia. Archives of Environmental Contamination and Toxicology, 52(3), 379?387. https://doi.org/10.1007/s00244-005-0259-5;Reviewer 2;;Include;Exclude;Not in baltic sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1204;Schwarz, T. I., Katsiadaki, I., Maskrey, B. H., & Scott, A. P. (2017). Rapid uptake, biotransformation, esterification and lack of depuration of testosterone and its metabolites by the common mussel, Mytilus spp. The Journal of Steroid Biochemistry and Molecular Biology, 171, 54?65. https://doi.org/10.1016/j.jsbmb.2017.02.016;Reviewer 2;;Include;Exclude;Not in baltic sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1215;Tomczak, M. T., Mller-Karulis, B., J„rv, L., Kotta, J., Martin, G., Minde, A., Pällum„e, A., Razinkovas, A., Strake, S., Bucas, M., & Blenckner, T. (2009). Analysis of trophic networks and carbon flows in south-eastern Baltic coastal ecosystems. Progress in Oceanography, 81(1?4), 111?131. https://doi.org/10.1016/j.pocean.2009.04.017;Reviewer 2;;Include;Exclude;Comparing coastal ecosystems with ECOPATH, but not providing ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1236;Gagnon, K., Gr„fnings, M., & Bostr”m, C. (2017). Shifts in coastal fish communities: Is eutrophication always beneficial for sticklebacks? Estuarine, Coastal and Shelf Science, 198, 193?203. https://doi.org/10.1016/j.ecss.2017.08.047;Reviewer 3;"About sticleback, filamentous algae and eutrophication; don't know if include later";Include;Exclude;no connection with ecosystem services;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1238;Berger, R., Malm, T., & Kautsky, L. (2001). Two reproductive strategies in BalticFucus vesiculosus(Phaeophyceae). European Journal of Phycology, 36(3), 265?273. https://doi.org/10.1080/09670260110001735418;Reviewer 3;Fucus and seasonal variations;Include;Exclude;Not about ecosystem service;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1244;Vuorinen, I., Antsulevich, A. E., & Maximovich, N. V. (2002). Spatial distribution and growth of the common mussel Mytilus edulis L. in the archipelago of SW-Finland, northern Baltic Sea. Boreal environment research, 7(1), 41-52.;Reviewer 3;Mytilus, supporting, regulating;Include;Exclude;Not about ecosystem service;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1246;Duedahl-Olesen, L., & Ghorbani, F. (2008). Optimization of large volume injection for improved detection of polycyclic aromatic hydrocarbons (pah) in mussels. Polycyclic Aromatic Compounds, 28(4?5), 282?301. https://doi.org/10.1080/10406630802378284;Reviewer 3;Mytilus and PAH, supporting service;Include;Exclude;about PAH detection methods, not ecosystem service;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1247;Gubelit, Y. I., & Berezina, N. A. (2010). The causes and consequences of algal blooms: The Cladophora glomerata bloom and the Neva estuary (eastern Baltic Sea). Marine Pollution Bulletin, 61(4?6), 183?188. https://doi.org/10.1016/j.marpolbul.2010.02.013;Reviewer 3;Macroalgae habitat, regulating, supporting;Include;Exclude;Not about ecosystem service;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1250;Qvarfordt, S., Kautsky, H., & Malm, T. (2006). Development of fouling communities on vertical structures in the Baltic Sea. Estuarine, Coastal and Shelf Science, 67(4), 618?628. https://doi.org/10.1016/j.ecss.2006.01.004;Reviewer 3;provisioning? Don't know if include later;Include;Exclude;Not about ecosystem service;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1257;Kaag, N. H. B. M., Foekema, E. M., Scholten, M. C. T., & van Straalen, N. M. (1997). Comparison of contaminant accumulation in three species of marine invertebrates with different feeding habits. Environmental Toxicology and Chemistry, 16(5), 837?842. https://doi.org/10.1002/etc.5620160501;Reviewer 3;Mytilus, provisioning;Include;Exclude;not about Baltic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1273;Andersson, S., Kautsky, L., & Kalvas, A. (1994). Circadian and lunar gamete release in Fucus vesiculosus in the atidal Baltic Sea. Marine Ecology Progress Series, 110, 195?201. https://doi.org/10.3354/meps110195;Reviewer 3;Fucus, supporting system?;Include;Exclude;Not about ecosystem service;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1281;Donadi, S., Austin, . N., Svartgren, E., Eriksson, B. K., Hansen, J. P., & Ekl”f, J. S. (2018). Density?dependent positive feedbacks buffer aquatic plants from interactive effects of eutrophication and predator loss. Ecology, 99(11), 2515?2524. https://doi.org/10.1002/ecy.2501;Reviewer 3;macroalgae, supporting service?;Include;Exclude;Not about ecosystem service;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1296;Giordano, J., Brush, M., & Anderson, I. (2012). Ecosystem metabolism in shallow coastal lagoons: patterns and partitioning of planktonic, benthic, and integrated community rates. Marine Ecology Progress Series, 458, 21?38. https://doi.org/10.3354/meps09719;Reviewer 3;macroalgae, regulating service;Include;Exclude;not about Baltic Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1298;Malm, T., R†berg, S., Fell, S., & Carlsson, P. (2004). Effects of beach cast cleaning on beach quality, microbial food web, and littoral macrofaunal biodiversity. Estuarine, Coastal and Shelf Science, 60(2), 339?347. https://doi.org/10.1016/j.ecss.2004.01.008;Reviewer 3;Macroalgae, cultural service;Include;Exclude;Not about ecosystem service;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
